Infinitive,удали́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удалённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удалю́
2nd Sing,удали́шь
3rd Sing,удали́т
1st Pl,удали́м
2nd Pl,удали́те
3rd Pl,удаля́т
Past M,удали́л
Past F,удали́ла
Past N,удали́ло
Past PL,удали́ли
Imp S,удали́
Imp PL,удали́те
