Infinitive,удержа́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удержа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уде́ржанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удержа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удержа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удержу́
2nd Sing,уде́ржишь
3rd Sing,уде́ржит
1st Pl,уде́ржим
2nd Pl,уде́ржите
3rd Pl,уде́ржат
Past M,удержа́л
Past F,удержа́ла
Past N,удержа́ло
Past PL,удержа́ли
Imp S,удержи́
Imp PL,удержи́те
