Infinitive,удиви́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удиви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удиви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,удивлю́сь
2nd Sing,удиви́шься
3rd Sing,удиви́тся
1st Pl,удиви́мся
2nd Pl,удиви́тесь
3rd Pl,удивя́тся
Past M,удиви́лся
Past F,удиви́лась
Past N,удиви́лось
Past PL,удиви́лись
Imp S,удиви́сь
Imp PL,удиви́тесь
