Infinitive,удосто́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удосто́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удосто́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удосто́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удосто́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удосто́ю
2nd Sing,удосто́ишь
3rd Sing,удосто́ит
1st Pl,удосто́им
2nd Pl,удосто́ите
3rd Pl,удосто́ят
Past M,удосто́ил
Past F,удосто́ила
Past N,удосто́ило
Past PL,удосто́или
Imp S,удосто́й
Imp PL,удосто́йте
