Infinitive,удво́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удво́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удво́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удво́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удво́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удво́ю
2nd Sing,удво́ишь
3rd Sing,удво́ит
1st Pl,удво́им
2nd Pl,удво́ите
3rd Pl,удво́ят
Past M,удво́ил
Past F,удво́ила
Past N,удво́ило
Past PL,удво́или
Imp S,удво́й
Imp PL,удво́йте
