Infinitive,удостоверя́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удостоверя́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,удостоверя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удостоверя́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,удостоверя́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,удостоверя́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,удостоверя́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,удостоверя́ю
2nd Sing,удостоверя́ешь
3rd Sing,удостоверя́ет
1st Pl,удостоверя́ем
2nd Pl,удостоверя́ете
3rd Pl,удостоверя́ют
Past M,удостоверя́л
Past F,удостоверя́ла
Past N,удостоверя́ло
Past PL,удостоверя́ли
Imp S,удостоверя́й
Imp PL,удостоверя́йте
