Infinitive,удовлетворя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удовлетворя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,удовлетворя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удовлетворя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,удовлетворя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удовлетворя́юсь
2nd Sing,удовлетворя́ешься
3rd Sing,удовлетворя́ется
1st Pl,удовлетворя́емся
2nd Pl,удовлетворя́етесь
3rd Pl,удовлетворя́ются
Past M,удовлетворя́лся
Past F,удовлетворя́лась
Past N,удовлетворя́лось
Past PL,удовлетворя́лись
Imp S,удовлетворя́йся
Imp PL,удовлетворя́йтесь
