Infinitive,уда́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уда́мся
2nd Sing,уда́шься
3rd Sing,уда́стся
1st Pl,удади́мся
2nd Pl,удади́тесь
3rd Pl,удаду́тся
Past M,уда́лся
Past F,удала́сь
Past N,удало́сь
Past PL,удали́сь
Imp S,уда́йся
Imp PL,уда́йтесь
