Infinitive,уде́рживать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уде́рживающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уде́рживавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уде́рживаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уде́рживая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,уде́рживав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,уде́рживавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,уде́рживаю
2nd Sing,уде́рживаешь
3rd Sing,уде́рживает
1st Pl,уде́рживаем
2nd Pl,уде́рживаете
3rd Pl,уде́рживают
Past M,уде́рживал
Past F,уде́рживала
Past N,уде́рживало
Past PL,уде́рживали
Imp S,уде́рживай
Imp PL,уде́рживайте
