Infinitive,удосто́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удосто́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удосто́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,удосто́юсь
2nd Sing,удосто́ишься
3rd Sing,удосто́ится
1st Pl,удосто́имся
2nd Pl,удосто́итесь
3rd Pl,удосто́ятся
Past M,удосто́ился
Past F,удосто́илась
Past N,удосто́илось
Past PL,удосто́ились
Imp S,удосто́йся
Imp PL,удосто́йтесь
