Infinitive,удава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,удава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,удава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удаю́сь
2nd Sing,удаёшься
3rd Sing,удаётся
1st Pl,удаёмся
2nd Pl,удаётесь
3rd Pl,удаю́тся
Past M,удава́лся
Past F,удава́лась
Past N,удава́лось
Past PL,удава́лись
Imp S,удава́йся
Imp PL,удава́йтесь
