Infinitive,удостове́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удостове́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удостове́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,удостове́рюсь
2nd Sing,удостове́ришься
3rd Sing,удостове́рится
1st Pl,удостове́римся
2nd Pl,удостове́ритесь
3rd Pl,удостове́рятся
Past M,удостове́рился
Past F,удостове́рилась
Past N,удостове́рилось
Past PL,удостове́рились
Imp S,удостове́рься
Imp PL,удостове́рьтесь
