Infinitive,уда́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уда́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уда́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уда́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уда́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уда́рю
2nd Sing,уда́ришь
3rd Sing,уда́рит
1st Pl,уда́рим
2nd Pl,уда́рите
3rd Pl,уда́рят
Past M,уда́рил
Past F,уда́рила
Past N,уда́рило
Past PL,уда́рили
Imp S,уда́рь
Imp PL,уда́рьте
