Infinitive,уда́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уда́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уда́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уда́рюсь
2nd Sing,уда́ришься
3rd Sing,уда́рится
1st Pl,уда́римся
2nd Pl,уда́ритесь
3rd Pl,уда́рятся
Past M,уда́рился
Past F,уда́рилась
Past N,уда́рилось
Past PL,уда́рились
Imp S,уда́рься
Imp PL,уда́рьтесь
