Infinitive,удра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,удра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удра́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,удра́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,удеру́
2nd Sing,удерёшь
3rd Sing,удерёт
1st Pl,удерём
2nd Pl,удерёте
3rd Pl,удеру́т
Past M,удра́л
Past F,удрала́
Past N,удра́ло
Past PL,удра́ли
Imp S,удери́
Imp PL,удери́те
