Infinitive,удержа́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удержа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удержа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,удержу́сь
2nd Sing,уде́ржишься
3rd Sing,уде́ржится
1st Pl,уде́ржимся
2nd Pl,уде́ржитесь
3rd Pl,уде́ржатся
Past M,удержа́лся
Past F,удержа́лась
Past N,удержа́лось
Past PL,удержа́лись
Imp S,удержи́сь
Imp PL,удержи́тесь
