Infinitive,главе́нствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,главе́нствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,главе́нствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,главе́нствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,главе́нствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,главе́нствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,главе́нствую
2nd Sing,главе́нствуешь
3rd Sing,главе́нствует
1st Pl,главе́нствуем
2nd Pl,главе́нствуете
3rd Pl,главе́нствуют
Past M,главе́нствовал
Past F,главе́нствовала
Past N,главе́нствовало
Past PL,главе́нствовали
Imp S,главе́нствуй
Imp PL,главе́нствуйте
