Infinitive,гля́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,гля́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,гля́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,гля́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,гля́ну
2nd Sing,гля́нешь
3rd Sing,гля́нет
1st Pl,гля́нем
2nd Pl,гля́нете
3rd Pl,гля́нут
Past M,гля́нул
Past F,гля́нула
Past N,гля́нуло
Past PL,гля́нули
Imp S,гля́нь
Imp PL,гля́ньте
