Infinitive,глода́ть
Zaliznyak Class,6c // 1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,гло́жущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,глода́ющий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,глода́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,глода́емый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,гло́данный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,гложа́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,short
PART:6:Participle Text,глода́я
PART:6:Participle Type,adverbial
PART:6:Participle Tense,present
PART:6:Participle Long or Short,long
PART:7:Participle Text,глода́в
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,short
PART:8:Participle Text,глода́вши
PART:8:Participle Type,adverbial
PART:8:Participle Tense,past
PART:8:Participle Long or Short,long
1st Sing,гложу́
2nd Sing,гло́жешь
3rd Sing,гло́жет
1st Pl,гло́жем
2nd Pl,гло́жете
3rd Pl,гло́жут
Past M,глода́л
Past F,глода́ла
Past N,глода́ло
Past PL,глода́ли
Imp S,гложи́
Imp PL,гложи́те
