Infinitive,глуши́ть
Zaliznyak Class,4b // 4c⑦
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,глуша́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,глуши́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,глуши́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,глушённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,глуша́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,глуши́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,глуши́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,глушу́
2nd Sing,глуши́шь
3rd Sing,глуши́т
1st Pl,глуши́м
2nd Pl,глуши́те
3rd Pl,глуша́т
Past M,глуши́л
Past F,глуши́ла
Past N,глуши́ло
Past PL,глуши́ли
Imp S,глуши́
Imp PL,глуши́те
