Infinitive,гло́хнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,гло́хнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гло́хший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,гло́хнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,гло́хнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,гло́хши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,гло́хну
2nd Sing,гло́хнешь
3rd Sing,гло́хнет
1st Pl,гло́хнем
2nd Pl,гло́хнете
3rd Pl,гло́хнут
Past M,гло́х
Past F,гло́хла
Past N,гло́хло
Past PL,гло́хли
Imp S,гло́хни
Imp PL,гло́хните
