Infinitive,гласи́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,глася́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гласи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,глася́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гласи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,гласи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,глашу́
2nd Sing,гласи́шь
3rd Sing,гласи́т
1st Pl,гласи́м
2nd Pl,гласи́те
3rd Pl,глася́т
Past M,гласи́л
Past F,гласи́ла
Past N,гласи́ло
Past PL,гласи́ли
Imp S,гласи́
Imp PL,гласи́те
