Infinitive,глотну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,глотну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,глотну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,глотну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,глотну́
2nd Sing,глотнёшь
3rd Sing,глотнёт
1st Pl,глотнём
2nd Pl,глотнёте
3rd Pl,глотну́т
Past M,глотну́л
Past F,глотну́ла
Past N,глотну́ло
Past PL,глотну́ли
Imp S,глотни́
Imp PL,глотни́те
