Infinitive,глуми́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,глумя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,глуми́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,глумя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,глуми́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,глумлю́сь
2nd Sing,глуми́шься
3rd Sing,глуми́тся
1st Pl,глуми́мся
2nd Pl,глуми́тесь
3rd Pl,глумя́тся
Past M,глуми́лся
Past F,глуми́лась
Past N,глуми́лось
Past PL,глуми́лись
Imp S,глуми́сь
Imp PL,глуми́тесь
