Infinitive,гляде́ться
Zaliznyak Class,5b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,глядя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гляде́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,глядя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гляде́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гляжу́сь
2nd Sing,гляди́шься
3rd Sing,гляди́тся
1st Pl,гляди́мся
2nd Pl,гляди́тесь
3rd Pl,глядя́тся
Past M,гляде́лся
Past F,гляде́лась
Past N,гляде́лось
Past PL,гляде́лись
Imp S,гляди́сь
Imp PL,гляди́тесь
