Infinitive,сходи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сходя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сходи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сходя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сходи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,схожу́сь
2nd Sing,схо́дишься
3rd Sing,схо́дится
1st Pl,схо́димся
2nd Pl,схо́дитесь
3rd Pl,схо́дятся
Past M,сходи́лся
Past F,сходи́лась
Past N,сходи́лось
Past PL,сходи́лись
Imp S,сходи́сь
Imp PL,сходи́тесь
