Infinitive,схлопота́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,схлопота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,схлопо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,схлопота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,схлопота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,схлопочу́
2nd Sing,схлопо́чешь
3rd Sing,схлопо́чет
1st Pl,схлопо́чем
2nd Pl,схлопо́чете
3rd Pl,схлопо́чут
Past M,схлопота́л
Past F,схлопота́ла
Past N,схлопота́ло
Past PL,схлопота́ли
Imp S,схлопочи́
Imp PL,схлопочи́те
