Infinitive,схитри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,схитри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,схитри́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,схитри́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,схитрю́
2nd Sing,схитри́шь
3rd Sing,схитри́т
1st Pl,схитри́м
2nd Pl,схитри́те
3rd Pl,схитря́т
Past M,схитри́л
Past F,схитри́ла
Past N,схитри́ло
Past PL,схитри́ли
Imp S,схитри́
Imp PL,схитри́те
