Infinitive,схорони́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,схорони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,схоро́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,схорони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,схорони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,схороню́
2nd Sing,схоро́нишь
3rd Sing,схоро́нит
1st Pl,схоро́ним
2nd Pl,схоро́ните
3rd Pl,схоро́нят
Past M,схорони́л
Past F,схорони́ла
Past N,схорони́ло
Past PL,схорони́ли
Imp S,схорони́
Imp PL,схорони́те
