Infinitive,схвати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,схвати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,схвати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,схвачу́сь
2nd Sing,схва́тишься
3rd Sing,схва́тится
1st Pl,схва́тимся
2nd Pl,схва́титесь
3rd Pl,схва́тятся
Past M,схвати́лся
Past F,схвати́лась
Past N,схвати́лось
Past PL,схвати́лись
Imp S,схвати́сь
Imp PL,схвати́тесь
