Infinitive,схвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,схвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,схва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,схвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,схвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,схвачу́
2nd Sing,схва́тишь
3rd Sing,схва́тит
1st Pl,схва́тим
2nd Pl,схва́тите
3rd Pl,схва́тят
Past M,схвати́л
Past F,схвати́ла
Past N,схвати́ло
Past PL,схвати́ли
Imp S,схвати́
Imp PL,схвати́те
