Infinitive,схлы́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,схлы́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,схлы́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,схлы́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,схлы́ну
2nd Sing,схлы́нешь
3rd Sing,схлы́нет
1st Pl,схлы́нем
2nd Pl,схлы́нете
3rd Pl,схлы́нут
Past M,схлы́нул
Past F,схлы́нула
Past N,схлы́нуло
Past PL,схлы́нули
Imp S,схлы́нь
Imp PL,схлы́ньте
