Infinitive,шути́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,шутя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шути́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шутя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шути́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,шути́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,шучу́
2nd Sing,шу́тишь
3rd Sing,шу́тит
1st Pl,шу́тим
2nd Pl,шу́тите
3rd Pl,шу́тят
Past M,шути́л
Past F,шути́ла
Past N,шути́ло
Past PL,шути́ли
Imp S,шути́
Imp PL,шути́те
