Infinitive,шушу́каться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шушу́кающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шушу́кавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шушу́каясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шушу́кавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,шушу́каюсь
2nd Sing,шушу́каешься
3rd Sing,шушу́кается
1st Pl,шушу́каемся
2nd Pl,шушу́каетесь
3rd Pl,шушу́каются
Past M,шушу́кался
Past F,шушу́калась
Past N,шушу́калось
Past PL,шушу́кались
Imp S,шушу́кайся
Imp PL,шушу́кайтесь
