Infinitive,шурша́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,шурша́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шурша́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шурша́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шурша́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,шурша́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,шуршу́
2nd Sing,шурши́шь
3rd Sing,шурши́т
1st Pl,шурши́м
2nd Pl,шурши́те
3rd Pl,шурша́т
Past M,шурша́л
Past F,шурша́ла
Past N,шурша́ло
Past PL,шурша́ли
Imp S,шурши́
Imp PL,шурши́те
