Infinitive,шуме́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,шумя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шуме́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шумя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шуме́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,шуме́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,шумлю́
2nd Sing,шуми́шь
3rd Sing,шуми́т
1st Pl,шуми́м
2nd Pl,шуми́те
3rd Pl,шумя́т
Past M,шуме́л
Past F,шуме́ла
Past N,шуме́ло
Past PL,шуме́ли
Imp S,шуми́
Imp PL,шуми́те
