Infinitive,сы́паться
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сы́плющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сы́павшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сы́плясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,short
PART:3:Participle Text,сы́пясь
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сы́павшись
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сы́плюсь
2nd Sing,сы́плешься
3rd Sing,сы́плется
1st Pl,сы́племся
2nd Pl,сы́плетесь
3rd Pl,сы́плются
Past M,сы́пался
Past F,сы́палась
Past N,сы́палось
Past PL,сы́пались
Imp S,сы́пься
Imp PL,сы́пьтесь
