Infinitive,сы́пать
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сы́плющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сы́павший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сы́племый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сы́панный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,сы́пля
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,short
PART:5:Participle Text,сы́пя
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,сы́пав
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,сы́павши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,сы́плю
2nd Sing,сы́плешь
3rd Sing,сы́плет
1st Pl,сы́плем
2nd Pl,сы́плете
3rd Pl,сы́плют
Past M,сы́пал
Past F,сы́пала
Past N,сы́пало
Past PL,сы́пали
Imp S,сы́пь
Imp PL,сы́пьте
