Infinitive,сыска́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сыска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сы́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сыска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сыска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сыщу́
2nd Sing,сы́щешь
3rd Sing,сы́щет
1st Pl,сы́щем
2nd Pl,сы́щете
3rd Pl,сы́щут
Past M,сыска́л
Past F,сыска́ла
Past N,сыска́ло
Past PL,сыска́ли
Imp S,сыщи́
Imp PL,сыщи́те
