Infinitive,сыгра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сыгра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сы́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сыгра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сыгра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сыгра́ю
2nd Sing,сыгра́ешь
3rd Sing,сыгра́ет
1st Pl,сыгра́ем
2nd Pl,сыгра́ете
3rd Pl,сыгра́ют
Past M,сыгра́л
Past F,сыгра́ла
Past N,сыгра́ло
Past PL,сыгра́ли
Imp S,сыгра́й
Imp PL,сыгра́йте
