Infinitive,фигури́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,фигури́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,фигури́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,фигури́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,фигури́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,фигури́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,фигури́рую
2nd Sing,фигури́руешь
3rd Sing,фигури́рует
1st Pl,фигури́руем
2nd Pl,фигури́руете
3rd Pl,фигури́руют
Past M,фигури́ровал
Past F,фигури́ровала
Past N,фигури́ровало
Past PL,фигури́ровали
Imp S,фигури́руй
Imp PL,фигури́руйте
