Infinitive,фикси́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,фикси́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,фикси́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,фикси́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,фикси́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,фикси́руюсь
2nd Sing,фикси́руешься
3rd Sing,фикси́руется
1st Pl,фикси́руемся
2nd Pl,фикси́руетесь
3rd Pl,фикси́руются
Past M,фикси́ровался
Past F,фикси́ровалась
Past N,фикси́ровалось
Past PL,фикси́ровались
Imp S,фикси́руйся
Imp PL,фикси́руйтесь
