Infinitive,финанси́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,финанси́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,финанси́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,финанси́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,финанси́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,финанси́руюсь
2nd Sing,финанси́руешься
3rd Sing,финанси́руется
1st Pl,финанси́руемся
2nd Pl,финанси́руетесь
3rd Pl,финанси́руются
Past M,финанси́ровался
Past F,финанси́ровалась
Past N,финанси́ровалось
Past PL,финанси́ровались
Imp S,финанси́руйся
Imp PL,финанси́руйтесь
