Infinitive,цо́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,цо́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,цо́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,цо́кая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,цо́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,цо́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,цо́каю
2nd Sing,цо́каешь
3rd Sing,цо́кает
1st Pl,цо́каем
2nd Pl,цо́каете
3rd Pl,цо́кают
Past M,цо́кал
Past F,цо́кала
Past N,цо́кало
Past PL,цо́кали
Imp S,цо́кай
Imp PL,цо́кайте
