Infinitive,вкла́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вкла́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вкла́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вкла́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вкла́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вкла́дываюсь
2nd Sing,вкла́дываешься
3rd Sing,вкла́дывается
1st Pl,вкла́дываемся
2nd Pl,вкла́дываетесь
3rd Pl,вкла́дываются
Past M,вкла́дывался
Past F,вкла́дывалась
Past N,вкла́дывалось
Past PL,вкла́дывались
Imp S,вкла́дывайся
Imp PL,вкла́дывайтесь
