Infinitive,включа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,включа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,включа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,включа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,включа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,включа́юсь
2nd Sing,включа́ешься
3rd Sing,включа́ется
1st Pl,включа́емся
2nd Pl,включа́етесь
3rd Pl,включа́ются
Past M,включа́лся
Past F,включа́лась
Past N,включа́лось
Past PL,включа́лись
Imp S,включа́йся
Imp PL,включа́йтесь
