Infinitive,вкола́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вкола́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вкола́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вкола́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вкола́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вкола́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вкола́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вкола́чиваю
2nd Sing,вкола́чиваешь
3rd Sing,вкола́чивает
1st Pl,вкола́чиваем
2nd Pl,вкола́чиваете
3rd Pl,вкола́чивают
Past M,вкола́чивал
Past F,вкола́чивала
Past N,вкола́чивало
Past PL,вкола́чивали
Imp S,вкола́чивай
Imp PL,вкола́чивайте
