Infinitive,включи́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,включи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,включи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,включу́сь
2nd Sing,включи́шься
3rd Sing,включи́тся
1st Pl,включи́мся
2nd Pl,включи́тесь
3rd Pl,включа́тся
Past M,включи́лся
Past F,включи́лась
Past N,включи́лось
Past PL,включи́лись
Imp S,включи́сь
Imp PL,включи́тесь
