Infinitive,вкопа́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вкопа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вко́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вкопа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вкопа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вкопа́ю
2nd Sing,вкопа́ешь
3rd Sing,вкопа́ет
1st Pl,вкопа́ем
2nd Pl,вкопа́ете
3rd Pl,вкопа́ют
Past M,вкопа́л
Past F,вкопа́ла
Past N,вкопа́ло
Past PL,вкопа́ли
Imp S,вкопа́й
Imp PL,вкопа́йте
