Infinitive,вколоти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вколоти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вколо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вколоти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вколоти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вколочу́
2nd Sing,вколо́тишь
3rd Sing,вколо́тит
1st Pl,вколо́тим
2nd Pl,вколо́тите
3rd Pl,вколо́тят
Past M,вколоти́л
Past F,вколоти́ла
Past N,вколоти́ло
Past PL,вколоти́ли
Imp S,вколоти́
Imp PL,вколоти́те
