Infinitive,юли́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,юля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,юли́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,юля́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,юли́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,юли́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,юлю́
2nd Sing,юли́шь
3rd Sing,юли́т
1st Pl,юли́м
2nd Pl,юли́те
3rd Pl,юля́т
Past M,юли́л
Past F,юли́ла
Past N,юли́ло
Past PL,юли́ли
Imp S,юли́
Imp PL,юли́те
