Infinitive,всмотре́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,всмотре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всмотре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,всмотрю́сь
2nd Sing,всмо́тришься
3rd Sing,всмо́трится
1st Pl,всмо́тримся
2nd Pl,всмо́тритесь
3rd Pl,всмо́трятся
Past M,всмотре́лся
Past F,всмотре́лась
Past N,всмотре́лось
Past PL,всмотре́лись
Imp S,всмотри́сь
Imp PL,всмотри́тесь
