Infinitive,вспы́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вспы́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспы́хнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вспы́хнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вспы́хну
2nd Sing,вспы́хнешь
3rd Sing,вспы́хнет
1st Pl,вспы́хнем
2nd Pl,вспы́хнете
3rd Pl,вспы́хнут
Past M,вспы́хнул
Past F,вспы́хнула
Past N,вспы́хнуло
Past PL,вспы́хнули
Imp S,вспы́хни
Imp PL,вспы́хните
