Infinitive,вста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вста́ну
2nd Sing,вста́нешь
3rd Sing,вста́нет
1st Pl,вста́нем
2nd Pl,вста́нете
3rd Pl,вста́нут
Past M,вста́л
Past F,вста́ла
Past N,вста́ло
Past PL,вста́ли
Imp S,вста́нь
Imp PL,вста́ньте
