Infinitive,вслу́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вслу́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вслу́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вслу́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вслу́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вслу́шиваюсь
2nd Sing,вслу́шиваешься
3rd Sing,вслу́шивается
1st Pl,вслу́шиваемся
2nd Pl,вслу́шиваетесь
3rd Pl,вслу́шиваются
Past M,вслу́шивался
Past F,вслу́шивалась
Past N,вслу́шивалось
Past PL,вслу́шивались
Imp S,вслу́шивайся
Imp PL,вслу́шивайтесь
