Infinitive,всполоши́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,всполоши́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всполоши́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,всполошу́сь
2nd Sing,всполоши́шься
3rd Sing,всполоши́тся
1st Pl,всполоши́мся
2nd Pl,всполоши́тесь
3rd Pl,всполоша́тся
Past M,всполоши́лся
Past F,всполоши́лась
Past N,всполоши́лось
Past PL,всполоши́лись
Imp S,всполоши́сь
Imp PL,всполоши́тесь
