Infinitive,вспомина́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вспомина́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспомина́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вспомина́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вспомина́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вспомина́юсь
2nd Sing,вспомина́ешься
3rd Sing,вспомина́ется
1st Pl,вспомина́емся
2nd Pl,вспомина́етесь
3rd Pl,вспомина́ются
Past M,вспомина́лся
Past F,вспомина́лась
Past N,вспомина́лось
Past PL,вспомина́лись
Imp S,вспомина́йся
Imp PL,вспомина́йтесь
