Infinitive,вступи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вступи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вступи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вступлю́сь
2nd Sing,всту́пишься
3rd Sing,всту́пится
1st Pl,всту́пимся
2nd Pl,всту́питесь
3rd Pl,всту́пятся
Past M,вступи́лся
Past F,вступи́лась
Past N,вступи́лось
Past PL,вступи́лись
Imp S,вступи́сь
Imp PL,вступи́тесь
