Infinitive,вскипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вскипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вскипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вскипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вскиплю́
2nd Sing,вскипи́шь
3rd Sing,вскипи́т
1st Pl,вскипи́м
2nd Pl,вскипи́те
3rd Pl,вскипя́т
Past M,вскипе́л
Past F,вскипе́ла
Past N,вскипе́ло
Past PL,вскипе́ли
Imp S,вскипи́
Imp PL,вскипи́те
