Infinitive,всу́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всу́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всу́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всу́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всу́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всу́ну
2nd Sing,всу́нешь
3rd Sing,всу́нет
1st Pl,всу́нем
2nd Pl,всу́нете
3rd Pl,всу́нут
Past M,всу́нул
Past F,всу́нула
Past N,всу́нуло
Past PL,всу́нули
Imp S,всу́нь
Imp PL,всу́ньте
