Infinitive,вспы́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вспы́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспы́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вспы́хивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вспы́хивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вспы́хивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вспы́хиваю
2nd Sing,вспы́хиваешь
3rd Sing,вспы́хивает
1st Pl,вспы́хиваем
2nd Pl,вспы́хиваете
3rd Pl,вспы́хивают
Past M,вспы́хивал
Past F,вспы́хивала
Past N,вспы́хивало
Past PL,вспы́хивали
Imp S,вспы́хивай
Imp PL,вспы́хивайте
