Infinitive,вскри́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вскри́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вскри́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вскри́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вскри́кну
2nd Sing,вскри́кнешь
3rd Sing,вскри́кнет
1st Pl,вскри́кнем
2nd Pl,вскри́кнете
3rd Pl,вскри́кнут
Past M,вскри́кнул
Past F,вскри́кнула
Past N,вскри́кнуло
Past PL,вскри́кнули
Imp S,вскри́кни
Imp PL,вскри́кните
