Infinitive,встря́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,встря́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,встря́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,встря́хиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,встря́хивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,встря́хивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,встря́хивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,встря́хиваю
2nd Sing,встря́хиваешь
3rd Sing,встря́хивает
1st Pl,встря́хиваем
2nd Pl,встря́хиваете
3rd Pl,встря́хивают
Past M,встря́хивал
Past F,встря́хивала
Past N,встря́хивало
Past PL,встря́хивали
Imp S,встря́хивай
Imp PL,встря́хивайте
