Infinitive,вски́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вски́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вски́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вски́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вски́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вски́ну
2nd Sing,вски́нешь
3rd Sing,вски́нет
1st Pl,вски́нем
2nd Pl,вски́нете
3rd Pl,вски́нут
Past M,вски́нул
Past F,вски́нула
Past N,вски́нуло
Past PL,вски́нули
Imp S,вски́нь
Imp PL,вски́ньте
